name,mbid
Bertolt Brecht,95fb3a0c-fc74-4f51-acba-bbe5b3a78e32
Judy Garland,b9348d59-b91b-423f-847b-8db155a0653b
Brigitte Bardot,efbdded5-ab91-4bb7-ba57-f36d7413eb70
Hebe Camargo,efe04173-9993-41d3-9cb3-d6a49e4f1159
Anggun,c2543756-c98c-452e-b536-60f2ca877046
Jim Morrison,c6619f89-5454-4e2d-aa19-b5596ba3b4c6
Paul McCartney,ba550d0e-adac-4864-b88b-407cab5e76af
Agnez Mo,fefae7fc-2c9d-4a45-b84c-2875a68ac803
Johnny Depp,49654ec9-0c4d-44a6-a909-580ee9fbabb7
Édith Piaf,4f8ef4a3-40fa-46b5-8773-97686a8424f4
Audrey Hepburn,7ddb6325-7022-4d30-a585-78a8eab631ab
Britney Spears,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76
Maya Angelou,80ce4e18-92ca-4079-b07c-11ac454b7755
Lordi,b5b4ba6e-6e34-4669-a33b-0d813b4c3d83
Federico García Lorca,3e2efdb0-cd07-40e2-a39f-277c670e1d72
Romain Rolland,daa0029d-771e-4746-bbb9-0a4904b6ebd9
Ariana Grande,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387
Miley Cyrus,7e9bd05a-117f-4cce-87bc-e011527a8b18
Avril Lavigne,0103c1cc-4a09-4a5d-a344-56ad99a77193
Alain Delon,632c69c8-404e-4062-8871-6acfe05c70db
The Rolling Stones,b071f9fa-14b0-4217-8e97-eb41da73f598
Jennifer Lopez,f0602f55-1770-483d-89bd-4bae0d0ac086
Shah Rukh Khan,8f9536d0-7be2-4c64-b6a4-ef73bb1c3876
David Bowie,5441c29d-3602-4898-b1a1-b77fa23b8e50
Swami Vivekananda,9fc29b29-73e3-484c-ac91-59c22198bd3d
Whitney Houston,0307edfc-437c-4b48-8700-80680e66a228
Adele,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493
Nero,31fdd5b3-4947-49d0-bb06-4b1ec7267a58
Frank Sinatra,197450cd-0124-4164-b723-3c22dd16494d
Tom Hanks,065d44ce-48cf-4b1c-85ad-555d0345ba6e
Clint Eastwood,dc5dc215-bb90-4579-a13a-3a564b265546
Will Smith,5bae7081-64ef-4473-825a-38d310deb14c
Katy Perry,122d63fc-8671-43e4-9752-34e846d62a9c
Kate Winslet,ceb05831-03e8-4605-904d-894ee0492d00
Charlotte Rampling,7bcd0bdf-2a43-4d0f-8373-fefc31469e4d
Jimi Hendrix,06fb1c8b-566e-4cb2-985b-b467c90781d4
Tupac Shakur,382f1005-e9ab-4684-afd4-0bdae4ee37f2
Tupac Shakur,98b5a1d4-3f58-412f-950c-ee9d82743705
Tupac Shakur,e263a1d8-8228-4ede-9e17-7acf8470165a
Nicole Kidman,08d9ce40-ebd2-4d81-894c-84655e3f851a
Demi Lovato,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b
Leonard Cohen,65314b12-0e08-43fa-ba33-baaa7b874c15
Metallica,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab
Sophia Loren,c9956945-54dc-450c-97ea-d024bfca2e34
Valery Leontiev,0d1e04f4-ddb6-4b66-8b0b-7f3b66f34d6e
Amy Winehouse,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3
Gwyneth Paltrow,dc71c08e-3ee5-409d-ae0d-f4fd9050e170
Steven Seagal,ab57a164-f30f-4aa5-8687-22abdbaeee44
Kurt Cobain,3c9b356d-d1db-4f4e-a7a3-2d00c1d70255
Jeremy Renner,ebcda1a2-7e50-4afb-a200-18f59c3af924
Russell Crowe,b7c738aa-cda3-45e2-9d0e-33687ab864e5
George Harrison,42a8f507-8412-4611-854f-926571049fa0
Tom Cruise,05701f26-2083-41fa-9549-22ef7714b0c3
Franz Liszt,2cd475bb-1abd-40c4-9904-6d4b691c752c
Mariah Carey,494e8d09-f85b-4543-892f-a5096aed1cd4
Amitabh Bachchan,54d0baf3-1511-4c91-8042-becf6573807e
Andrew Garfield,4f47f771-3680-40c6-9bc9-3d627200975e
Stefan Zweig,554180e0-5e8c-431b-a541-46447aa99d45
Keanu Reeves,739dff59-f8b4-4707-92cd-11b30e9db54c
Selena,03746227-c9f9-4b3b-b2c6-9b31f79564f7
Kylie Minogue,2fddb92d-24b2-46a5-bf28-3aed46f4684c
Bing Crosby,2437980f-513a-44fc-80f1-b90d9d7fcf8f
Ingrid Bergman,669c349d-ba44-48e8-8649-2fc8d1769eaf
Felix Mendelssohn,0e85eb79-1c05-44ba-827c-7b259a3d941a
Billie Eilish,f4abc0b5-3f7a-4eff-8f78-ac078dbce533
Jane Fonda,67a75df2-359c-483e-8d01-de49a95f943f
Albert Schweitzer,df4906d0-2a9e-461e-b6b5-1bcca3731483
Led Zeppelin,678d88b2-87b0-403b-b63d-5da7465aecc3
Cher,bfcc6d75-a6a5-4bc6-8282-47aec8531818
Linkin Park,f59c5520-5f46-4d2c-b2c4-822eabf53419
John Travolta,94f4c61e-5cf3-4cba-ab3e-9bd5be99f6ab
Elton John,b83bc61f-8451-4a5d-8b8e-7e9ed295e822
Grace Kelly,3ac772ad-4fd2-4546-ad7b-48c76e8847f1
Johnny Cash,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86
Vladimir Vysotsky,ebe42a0b-6a6f-4eb6-b436-5c0f351d96f3
Giovanni Pierluigi da Palestrina,4daeb526-6c4c-4f77-bdf5-4a0fcb714bfe
Lila Downs,ad29ae1c-2eda-4071-9dc8-31910e7e546c
U2,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432
Aretha Franklin,2f9ecbed-27be-40e6-abca-6de49d50299e
Taylor Lautner,ed4806cc-d3f9-4d39-924a-117ea0983fbd
Enya,4967c0a1-b9f3-465e-8440-4598fd9fc33c
Franz Beckenbauer,c6b90a93-4bcd-4916-ba81-7ca3a3d940d0
Nirvana,5b11f4ce-a62d-471e-81fc-a69a8278c7da
Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b
William Herschel,07c4274b-e217-4652-b50f-eb398c3fc9d4
Matt Damon,7388f0b9-26e4-45da-b42a-419d059285ec
Ronaldinho,e058316e-13d3-44d7-a97e-4699af434bad
Daniel Radcliffe,f269fb17-9431-4925-84a4-e4d5c99f290d
Orson Welles,cc98a7f6-1c7f-436b-b7f8-60ef310edd52
Mae West,9cde9e3a-e8af-4659-9c59-bdbf96acb558
Christopher Lee,547038ef-aaef-43db-86fe-29bf25c05712
50 Cent,8e68819d-71be-4e7d-b41d-f1df81b01d3f
Robert Downey Jr.,49e26070-0937-4178-a549-6bbe3c36f282
Prince,070d193a-845c-479f-980e-bef15710653e
Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738
Helmut Schmidt,38d388d7-8a32-4ac0-be9f-9f5bd6d39305
Prince,d651d80e-6137-4440-81da-fff5a27a79c4
Prince,d90f9497-deac-4ce3-9cd2-e2c4f4d345db
Dan Brown,634650ff-6a05-450f-8e44-8669b648bff8
Tina Turner,9072df14-b61e-42e2-b4f4-6bbb7fdb5586
Frank Zappa,e20747e7-55a4-452e-8766-7b985585082d
Kanye West,164f0d73-1234-4e2c-8743-d77bf2191051
Paris Hilton,0d9ff9c7-394e-4228-93aa-c4afd4765324
Carrie Fisher,04fb59cd-c27e-4fda-a280-2ce6f2a75d1a
Umm Kulthum,0a354a70-b879-4697-ad9b-60bfe2bd1d63
Kevin Costner,e1866900-717b-4606-b9ae-16f01f7272b0
Iron Maiden,ca891d65-d9b0-4258-89f7-e6ba29d83767
Eddie Murphy,98744f0b-20fc-4bb2-9ac4-e2041058911f
Barbra Streisand,56cd15a1-0d74-438b-8244-c96ffe1cae03
Björk,87c5dedd-371d-4a53-9f7f-80522fb7f3cb
Alla Pugacheva,2f745f25-7681-4c44-b713-34d37a307575
Priyanka Chopra,34d61873-7bdd-4dd8-91d4-9ae585b4622b
Ursula K. Le Guin,bbdadb51-0e9c-4cc4-b545-968b9375b416
Nightwish,00a9f935-ba93-4fc8-a33a-993abe9c936b
Bette Davis,c340b14b-f290-4354-8736-16271d67a378
Bruce Springsteen,70248960-cb53-4ea4-943a-edb18f7d336f
Harper Lee,f682a68b-eb75-4993-bf8d-f246c36dda14
Julianne Moore,39e8c8a6-72b0-4a3e-b1c0-3114f20d67c7
Ozzy Osbourne,8aa5b65a-5b3c-4029-92bf-47a544356934
Anastacia,d3b2bec4-b70e-460e-b433-a865ceac2de8
Eva Perón,01df5364-caeb-421e-9940-ef024e57384a
Dolly Parton,1d543e07-d0d2-4834-a8db-d65c50c2a856
Noemi,bee5be2b-0c22-45ee-817d-b744ea6aa6d3
Salma Hayek,e43110c3-6f41-4ba3-9c22-1f90b1792193
Ray Charles,2ce02909-598b-44ef-a456-151ba0a3bd70
David Lynch,752d58e6-d33f-4dcd-b40c-37acc14242f2
Whoopi Goldberg,de0e8b7e-02f0-4824-a35a-b3d1eea9d91e
Salman Khan,a6589aaa-d200-4883-8307-b8f7776041ab
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5
Christopher Plummer,c0e9f10f-f668-46af-bc14-e0f7d0e2a1fc
Rita Hayworth,eae4e657-1944-482e-b0cf-204ab47d22d6
Pierce Brosnan,36b9a5da-8213-457a-aeaa-25fbdbafe8a6
Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
Béla Bartók,fd14da1b-3c2d-4cc8-9ca6-fc8c62ce6988
Janet Jackson,6be2828f-6c0d-4059-99d4-fa18acf1a296
George Michael,ccb8f30e-4d71-40c4-8b1d-846dafe73e2c
Marjorie Estiano,b1900042-2890-4e33-a2d1-89eb6c209459
AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1
Red Hot Chili Peppers,8bfac288-ccc5-448d-9573-c33ea2aa5c30
Aamir Khan,de7ca725-2555-422d-9751-09ca9651e347
One Direction,1a425bbd-cca4-4b2c-aeb7-71cb176c828a
Gillian Anderson,ecd5abf6-6c91-4d69-8804-83374745c5a9
Catherine Zeta-Jones,6f1e0374-8f41-402f-9d1c-4d04e14e26e1
Peter O'Toole,75537405-6568-43bc-9947-490619137e18
Joan Baez,92d37892-6186-4459-9cc1-f0dde57652d0
Layal Abboud,4d89d6d8-96ed-49a1-933e-f862e215d584
Lauren Bacall,483a825d-1657-4037-bd94-2591940d5327
Fred Astaire,3ae3fa20-d295-467c-b59f-969376a28470
Kirk Douglas,ade1dabe-417f-4d8f-9a1f-33812421c944
Gérard Depardieu,9f3808f3-2f93-4564-8050-33e9b773fbc3
Gene Wilder,e594bbfb-bda6-4a40-bc91-db64ace07ecf
Michelle Pfeiffer,96e34437-e139-4ccd-b300-d18c705ddc3c
Doris Day,3db5dfb1-1b91-4038-8268-ae04d15b6a3e
Sidney Poitier,d35b2f55-2f3d-47eb-b179-4248e0c96d74
Ella Fitzgerald,54799c0e-eb45-4eea-996d-c4d71a63c499
Eric Clapton,618b6900-0618-4f1e-b835-bccb17f84294
James Brown,20ff3303-4fe2-4a47-a1b6-291e26aa3438
Drew Barrymore,00e1bc64-21b0-4ab4-ba13-8e87e6da9b23
Miles Davis,561d854a-6a28-4aa7-8c99-323e6ce46c2a
Mick Jagger,b5ffc3aa-b868-4b88-905f-d73d51dbe51c
John Goodman,4fcafd02-bb53-470d-a4d6-b043c46dd319
Winona Ryder,81fbaa16-9a5d-4391-bc25-6b66b16a2d3f
Mark Wahlberg,7201bb47-82ce-471e-b520-4551ec84e8c7
John Goodman,01eb8954-1ff1-4423-8b22-458c5efceea6
Hedy Lamarr,67980dcd-ce48-400c-adfa-8ca463a21f95
Julie Andrews,16bdc7b3-6bfc-4f1c-89ad-d0756af40327
Milla Jovovich,39f96cb8-fe7e-499f-820c-676267b617e6
Zendaya,5b946a83-b395-4016-b67f-c71690f9a866
IShowSpeed,d7defc5c-2869-40f0-9d56-2a0292aaeba5
Charles Aznavour,5f264b87-d5f6-487d-aa3e-ae4c5f0c6fc9
Liam Neeson,40b9df23-21eb-4a9d-8859-def8577edacb
Stevie Wonder,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e
Stevie Wonder,3fb67500-87e2-449b-a995-c74dc8f9319c
Stevie Wonder,85db5120-7b1d-4b18-be06-630840398fbc
Amy Adams,fa295ceb-f727-4387-ac01-0ebacb47090a
Natalia Oreiro,bf67a751-bce5-4f7a-8d68-e4b5a678fae3
Snoop Dogg,f90e8b26-9e52-4669-a5c9-e28529c47894
Alicia Keys,8ef1df30-ae4f-4dbd-9351-1a32b208a01e
Victoria Beckham,ce8dbfe4-3ce7-41e9-9bb3-13e35c053318
Yoko Ono,b0b33754-a664-43b7-ba00-be0dc4ec2396
Psy,f99b7d67-4e63-4678-aa66-4c6ac0f7d24a
Miriam Makeba,bc5c2918-4aba-4ef6-a245-100563a4487f
Chester Bennington,415e30a0-116b-4a4f-8cbf-8d0f6406bbab
Snoop Dogg,960db060-0ba8-4f6c-9770-49b81dc6e5ea
Ichirō Mizuki,f9615cbd-026a-4e30-80c8-2fd0d89e76ff
Snoop Dogg,965f5705-6eb1-49a1-b312-cd3d65bcc7c9
Charles Manson,db3d7002-d9e8-4803-82c4-d85dad3f29bb
Ravi Shankar,697f8b9f-0454-40f2-bba2-58f35668cdbe
Josephine Baker,549dc0da-d165-4bff-839e-dca65cf51c0c
Shirley MacLaine,64e68085-19fe-4f0b-b024-249dee58d349
Sting,f8306763-5570-4217-b041-fab869331b18
Emmy Rossum,bc598b29-d213-4c1b-8157-0fd8b1b0d534
Marilyn Manson,80cadd99-f560-41e3-babd-16292bbd248a
Sting,7944ed53-2a58-4035-9b93-140a71e41c34
Judi Dench,a69f5a73-e016-4069-989d-8c093ec63ec5
Andrea Bocelli,c5a0a216-c33c-42dc-92b8-4b60236f8dad
Chuck Berry,592a3b6d-c42b-4567-99c9-ecf63bd66499
30 Seconds to Mars,d8354b38-e942-4c89-ba93-29323432abc3
Alia Bhatt,f0733296-1526-4641-858b-131d884d79a0
Zac Efron,b25c6c3f-3861-4687-be1d-3c8d238cfb34
Pierre-Augustin de Beaumarchais,62cdd40d-e451-42aa-90fe-010b6d9aa08d
John Cena,9c88daa5-29f1-45bf-8a70-8dce6365a054
Pedro Almodóvar,e85f3342-dcaf-458a-a03d-3ecf340d56a4
Enrique Iglesias,35f866dc-c061-48ba-8157-cf2e0eac4857
Allen Ginsberg,8fc551bc-0c60-43fd-a234-2776561c2b18
Shirley Temple,ca6e3c7f-2224-4927-96be-dd5e62f54b8e
Ennio Morricone,a16e47f5-aa54-47fe-87e4-bb8af91a9fdd
Robert Pattinson,28f87490-205b-4187-970b-cd48881f5225
Guns N' Roses,eeb1195b-f213-4ce1-b28c-8565211f8e43
Lindsay Lohan,63b43c69-b822-4268-bdad-bcde12531f50
Duran Duran,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5
Adam Sandler,dfc6d0b8-3d0b-4b33-9b3f-dff972e25594
Alan Rickman,4ae3e8c0-b0f1-44b7-adf1-f0d425c07d55
Laurence Olivier,efbc067e-d225-4ec9-93b0-8f012df85ed2
Charlton Heston,1e183ac2-1573-4d8a-91a2-bd94290dc215
Joaquin Phoenix,b378f0e6-9612-45a1-866a-679cbc631b22
The Who,9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa
Rammstein,b2d122f9-eadb-4930-a196-8f221eeb0c66
Robbie Williams,db4624cf-0e44-481e-a9dc-2142b833ec2f
Catherine Deneuve,9aa6af80-f210-44f4-a376-6f7f6e02df24
Bedřich Smetana,6eb5695e-cf7b-4b94-b441-a09901127ef9
Thomas Young,75167b8b-44e4-407b-9d35-effe87b223cf
Bryan Adams,4dbf5678-7a31-406a-abbe-232f8ac2cd63
Bono,7f347782-eb14-40c3-98e2-17b6e1bfe56c
Ryan Gosling,a992d757-1207-499c-8be9-6537da8db2a8
Isabelle Adjani,b7e9b00d-328e-4be1-b145-5ff372eba522
Kim Basinger,c476d437-0a95-4819-86c8-fd63b93b5f55
Peter Sellers,697e5756-139e-47cd-9a0b-de819557bc13
Alexander Borodin,560b5e65-8d53-41b4-9913-83368f4721a0
Richard Strauss,4cb43d82-824e-4034-b03d-1a98f36f6e16
Norodom Sihanouk,255a51de-105f-4d2f-b2e0-4bf29cdf8220
Ian McKellen,d347cdd8-6c14-4102-a635-0a8ef92dca05
Sally Field,dab64926-fbf3-4a87-9ac2-a0c8029a4074
Kevin Spacey,1f7134d9-2c91-4ccd-8ada-ae7b32f896e6
James Cagney,be42eb3b-d984-4619-a3ad-90abcf9ad423
Alexander Borodin,2c3524b4-c4ba-4431-8d54-c134560a7fa9
Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711
Phil Collins,401c3991-b76b-499d-8082-9f2df958ef78
Hilary Duff,bfaf9b70-d1fd-4d3e-b730-3e67e6f8f9bb
Brian May,6d24f102-5c43-453a-8664-4ee092f441cf
Jennifer Connelly,cf4badcf-6325-45b8-94b7-f80cb6a7d96a
Nelly Furtado,13655113-cd16-4b43-9dca-cadbbf26ee05
Billie Holiday,d59c4cda-11d9-48db-8bfe-b557ee602aed
Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f
R. Kelly,c2d25856-a09a-4d15-b404-77dd19c19e63
James Hetfield,68c34082-c1d5-4399-af9b-3921ca0a6a1f
Billie Holiday,a17dd03a-80e6-4280-963a-e25ec9050b6f
Jolin Tsai,3033ce2b-2fb2-408e-8c5a-aea48592d7bc
Modest Petrovich Mussorgsky,c1380b12-3909-47d8-a5fd-d20e76123310
Pink,f4d5cc07-3bc9-4836-9b15-88a08359bc63
Cillian Murphy,59a0c216-6fad-40a7-bf1d-20d4ce4a19ed
Hans Zimmer,e6de1f3b-6484-491c-88dd-6d619f142abc
Avicii,e127363c-1cbb-41de-8e7d-627a2382dfce
Avicii,c85cfd6b-b1e9-4a50-bd55-eb725f04f7d5
Ewan McGregor,adc133fb-279c-4011-af61-d40132d7bb80
Mike Myers,1e50603f-15ba-455b-bd56-50da7b4d433b
Akon,1138a764-2212-4d0a-b02d-0dc14df91e08
Brie Larson,443f4ba1-06d4-4def-9be4-2a3cf8f90a88
Carlos Alazraqui,21c1650e-3838-43f9-b9ad-652c958781ea
Ava Gardner,77c40993-83a7-4b60-878a-3416156e8b01
Jeremy Irons,349ab9cc-3062-430e-9561-d73d0e10e08a
Colette,9ccc1da1-58e2-4f87-a0ed-de17aaab1aec
Roberto Benigni,e6f52968-44ea-49dc-9494-fc1ea2272683
Ian McShane,6c751242-3350-4ee4-b300-4f5be84a09bc
Danny DeVito,6c7e64f5-2b5b-4708-9c56-d0e03cda2579
Duke Ellington,3af06bc4-68ad-4cae-bb7a-7eeeb45e411f
John de Lancie,98b91034-2ca5-42ef-888c-8f25b6461b0b
Peter Ustinov,d1d9b600-8b8e-4cec-932e-c119d2708191
Julio Iglesias,3be4099e-f180-4038-af84-ae18a09eab02
Jared Leto,5ec4fe5f-c89a-47d1-a9b7-58344b401527
Kiss,e1f1e33e-2e4c-4d43-b91b-7064068d3283
Joe Cocker,32f2d6bd-c22b-42cf-a7bc-0c4b48cd2bcb
Diana Ross,60d41417-feda-4734-bbbf-7dcc30e08a83
Montserrat Caballé,a96e61bc-1da0-45d0-816d-ebd00b70ff9d
Rosé,7f233cda-eacb-4235-b681-5f7be343a1a2
Idris Elba,b3c7c6d6-5907-45a8-b589-1ec2572be4fd
Kate Hudson,890e316b-b3c0-4e75-97ce-025545c8be64
Bon Jovi,5dcdb5eb-cb72-4e6e-9e63-b7bace604965
Jerry Lewis,0b696251-6f12-42e1-9302-926581ea5e08
Pete Seeger,af18a9bc-e4ab-4068-9489-b64e8186fcf1
Joshua Bassett,cd3b292f-86bf-4f34-b938-da79242582d9
Richard Burton,1684adc5-882b-42f2-bd26-bd33cefe0640
Ben Kingsley,2ec3fe28-3180-4265-aee4-bc752e1b3846
Bill Murray,2c63ab97-9552-4916-b4d2-c2ac11a2a51e
Elijah Wood,a4910c87-4b63-4f97-b711-da21bc13aedd
Kelly Clarkson,d339efbb-77b9-4147-ba9e-59f2f24550b2
Kristen Bell,ac579536-1398-44db-a37b-9d5963a46929
Gene Kelly,aaff7c7e-5793-4fa7-9a7c-9af3b45e8132
Paul Allen,94250c74-dbb7-440a-bc90-5dc4e380be3a
Dakota Fanning,64c93106-62a9-4861-88d4-85cc06f0cd51
Claudio Monteverdi,9a33a7ad-f725-473a-b50a-1d1796183af1
Debbie Reynolds,d0cd6a06-dc19-4fa8-9664-0d96534ef1db
Adriano Celentano,d2b50525-1111-4906-aab6-4553f035f679
Cardi B,2f3c4d70-0462-40da-bba3-0aec5772c556
Jean Gabin,18ed52aa-e44b-40f8-bd54-92464c35e8e5
Lata Mangeshkar,aeb71bd8-447d-4415-8ea1-2b7d664f67e1
Bill Cosby,0646d80c-7ee1-46e9-a169-2979dee41bc6
Jeff Bridges,bc4e546e-8604-4724-9d6b-bbec6a5b5ff7
Ice Cube,1d11e2a1-4531-4d61-a8c7-7b5c6a608fd2
Colin Firth,c1103860-4a31-4dc8-bcee-f56aafda600a
Lisa Gerrard,cd645207-1664-46af-9953-264e9ae54089
Anthony Quinn,af95d4d6-8d2c-48f5-83fc-8469919825e2
Courtney Love,31d2041c-985d-48f7-b6e2-2a70cdf14853
Goldie Hawn,feff0ea8-2ccb-4971-9833-39a9427e60d4
Kesha,fab34286-b8e1-4879-bce3-194e1358fbd2
Aerosmith,3d2b98e5-556f-4451-a3ff-c50ea18d57cb
Viggo Mortensen,44b3288f-c16f-430d-81dd-545cf3d2963f
Naomi Campbell,e24c9413-49b6-4d4b-9e31-cf07d02a9782
Vanessa Hudgens,9da7ed18-20fa-4279-88c8-94299728236d
Nina Simone,2944824d-4c26-476f-a981-be849081942f
Shaquille O'Neal,074d8126-20b8-47cd-b874-9d8457df7684
Shaquille O'Neal,1e6f48fc-6a0a-4ded-afd0-3bc809812d36
Frank Gehry,cfeebb80-9dd1-4161-b67b-1c084c8b5d19
John Glenn,29130923-f948-475b-bacb-96ee16fb5d3b
John Cale,72c090b6-a68e-4cb9-b330-85278681a714
Richard Simmons,8cb8dc40-cc36-4885-92f7-c512c0b081a0
Pumpuang Duangjan,6b3c73bc-813c-4164-893f-abb477e15ef2
Harry Styles,7eb1ce54-a355-41f9-8d68-e018b096d427
Viktor Tsoi,7da030e4-3b08-4e29-b497-344d809589fd
Dire Straits,614e3804-7d34-41ba-857f-811bad7c2b7a
Conchita Wurst,fd3b212c-b65a-4f33-91de-1458ca1b5648
Glenn Close,512f6db1-63ef-42d1-a234-55bacecfe0c0
Agnetha Fältskog,aebbb417-0d18-4fec-a2e2-ce9663d1fa7e
Jessica Simpson,fe37acd4-893c-4b2c-8ad2-7fd394280354
Alice Cooper,ee58c59f-8e7f-4430-b8ca-236c4d3745ae
Amanda Seyfried,e6d9bb27-4c85-4eb4-93f7-a56d52ca956c
Jamie Foxx,15a5da16-8b89-4047-aefe-81473c97b5b2
Olivia Rodrigo,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0
Hugh Laurie,4b90c344-31bd-48d1-aa58-8e061a8251c9
Conchita Wurst,95f44a54-04d6-41a1-8101-bbd6d833b30a
Alanis Morissette,4bdcee62-4902-4773-8cd1-e252e2e31225
Patrick Swayze,295ab66f-31fe-4530-afb2-3b80613707ea
Bob Hoskins,c7b7a88a-f999-4823-ae8f-8ace096553c4
John Michael Talbot,5d8cd98d-0572-4fe8-8771-84b4eb9bf510
Dima Bilan,8b86576e-1cf5-46c8-970a-a79d13c2e0f0
Bob Hope,48901e22-cc02-4fa0-8c7f-1fe2930dd45e
The Beach Boys,ebfc1398-8d96-47e3-82c3-f782abcdb13d
Jamala,3d264dc4-b1f2-409f-8ab4-3d17d8b42b02
Jack Black,caf8a53e-7f43-4be4-95d6-18d55e1f6e18
Dean Martin,5e6c760b-42e0-4df4-a221-0269355da00a
Jacques Brel,91eda19b-1437-42cd-b7af-69df24b7f275
Betty White,73f3b2a5-98a2-46a9-a6cd-701442f26b08
Ram Narayan,c94a221f-1708-4882-b035-37a1ed3d9cb4
Hande Yener,ebef6120-fbb3-4537-84bc-27902d5760c1
Usher,3414d446-735a-443c-931f-10634f57e5b9
Rita Ora,c9dd033c-0270-463c-b3ec-f4b7712486fe
Gwen Stefani,2e41ae9c-afd2-4f20-8f1e-17281ce9b472
Eartha Kitt,02b4a39e-04c0-4eb7-a0eb-c919f3d14154
Emir Kusturica,ffbcbcb9-b0c1-4692-b2c7-d5452f10c809
Lisa,30aeb57f-bb16-47fa-86ca-79fc57b4d12c
Lucille Ball,939570c2-2083-4898-be1f-1d913781cf6d
Sia,2f548675-008d-4332-876c-108b0c7ab9c5
Michael Keaton,7f52f54b-abb7-4cd8-ae15-44c335be7bc4
Carla Bruni,f90575d1-abcb-42b3-ae32-1849312c26e6
Eagles,f46bd570-5768-462e-b84c-c7c993bbf47e
Sabrina Carpenter,1882fe91-cdd9-49c9-9956-8e06a3810bd4
Lil Wayne,ac9a487a-d9d2-4f27-bb23-0f4686488345
Susan Boyle,eefcf168-6b1b-46ec-9b75-f8a01161abb5
Depeche Mode,8538e728-ca0b-4321-b7e5-cff6565dd4c0
