rank,author,total_books,books3_books,libgen_books,public_domain,affected_by,sued_over
68,Carl Sagan,20,10,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
69,Steven Pressfield,20,9,11,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
70,Wilhelm Reich,20,11,9,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
71,Eva Ibbotson,19,19,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
72,Lavie Tidhar,19,15,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
73,Louis Sachar,19,16,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
74,Michael Chabon,19,16,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
75,Albert Ellis,18,6,12,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
76,Arthur Koestler,18,11,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
77,David Horowitz,18,8,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
78,David Liss,18,14,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
79,H. A. Rey,18,15,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
80,Jack Zipes,18,4,14,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
81,Leonard Cohen,18,17,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
82,Martin Buber,18,6,12,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
83,Steve Pieczenik,18,11,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
84,Alan Furst,17,13,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
85,Deborah Tannen,17,7,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
86,Jon Kabat-Zinn,17,9,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
87,Marianne Williamson,17,12,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
88,Naomi Klein,17,7,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
89,Neil Postman,17,8,9,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
90,Stanley Elkin,17,12,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
91,Stephen Mitchell (translator),17,10,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
92,Ann Louise Gittleman,16,9,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
93,Eve Kosofsky Sedgwick,16,1,15,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
94,Ilan Stavans,16,2,14,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
95,Irving Wallace,16,10,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
96,Isa Chandra Moskowitz,16,9,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
97,Joseph Roth,16,16,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
98,Lisa Lillien,16,10,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
99,Mike Berenstain,16,12,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
100,Sara Paretsky,16,12,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
101,Alan Weiss (comics),15,3,12,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
102,Avram Davidson,15,15,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
103,Bernard Malamud,15,15,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
104,Carl Zimmer,15,9,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
105,David A. Adler,15,9,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
106,Harold Pinter,15,12,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
107,Harold Robbins,15,13,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
108,Henry Kuttner,15,14,1,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
109,Jennifer Weiner,15,9,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
110,Jonathan Carroll,15,12,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
111,Joseph Finder,15,14,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
112,Naomi Novik,15,14,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
113,Richard Hall (writer),15,1,14,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
114,Robert Greenberger,15,12,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
115,Andrea Chesman,14,11,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
116,André Aciman,14,9,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
117,Arthur Asa Berger,14,4,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
118,Calvin Trillin,14,10,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
119,Emmanuel Levinas,14,1,13,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
120,Geraldine Brooks (writer),14,9,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
121,Howard Fast,14,10,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
122,Irwin Shaw,14,9,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
123,Jack Cohen (rabbi),14,9,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
124,Jack Kornfield,14,8,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
125,James Salter,14,12,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
126,László Krasznahorkai,14,14,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
127,Mark Helprin,14,10,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
128,Mitch Albom,14,9,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
129,Richard Price (writer),14,7,7,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
130,Robert Allen (song composer),14,1,13,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
131,Adin Steinsaltz,13,2,11,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
132,Alan Dershowitz,13,8,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
133,Anne Applebaum,13,7,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
134,Géza Vermes,13,6,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
135,Jared Diamond,13,8,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
136,Jerome Charyn,13,11,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
137,Jon Krakauer,13,7,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
138,Joseph Epstein (writer),13,8,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
139,Joseph Heller,13,9,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
140,Leigh Bardugo,13,13,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
141,Ludwig von Mises,13,2,11,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
142,Marge Piercy,13,11,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
143,Michael Mann,13,1,12,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
144,Neil Strauss,13,10,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
145,Robert Littell (author),13,13,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
146,Stanley Rosen,13,3,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
147,William Safire,13,10,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
148,Adam Mansbach,12,11,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
149,Anthony Bourdain,12,6,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
150,Ariel Dorfman,12,9,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
151,Ben Stein,12,7,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
152,Dagobert D. Runes,12,1,11,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
153,David Kahn (writer),12,4,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
154,Ellery Queen,12,12,0,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
155,Ina Garten,12,10,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
156,Irving Adler,12,1,11,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
157,Irène Némirovsky,12,12,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
158,Jerzy Kosiński,12,9,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
159,Jonathan Cahn,12,6,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
160,Leonard Mlodinow,12,9,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
161,Richard Taruskin,12,3,9,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
162,Stan Lee,12,6,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
163,Suze Orman,12,7,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
164,Alfred Adler,11,3,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
165,Allan Bloom,11,1,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
166,Amitai Etzioni,11,1,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
167,Andrew S. Tanenbaum,11,0,11,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
168,Ariel Durant,11,6,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
169,Cynthia Ozick,11,11,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
170,David Lehman,11,10,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
171,David Simon,11,6,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
172,Douglas Rushkoff,11,5,6,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
173,Gloria Steinem,11,8,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
174,Ira Levin,11,7,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
175,John Robbins (author),11,6,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
176,Lauren Weisberger,11,9,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
177,Lee Harris (South African writer),11,10,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
178,Leon Uris,11,9,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
179,Leonard Peikoff,11,7,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
180,Louis Begley,11,10,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
181,Michael Morris (screenwriter),11,1,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
182,Nancy Fraser,11,5,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
183,Robert D. Putnam,11,3,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
184,Robert Pinsky,11,3,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
185,Russell Hoban,11,11,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
186,Adam Gopnik,10,7,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
187,Andrei Codrescu,10,6,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
188,Andrew Klavan,10,8,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
189,David Guterson,10,9,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
190,David Sheff,10,5,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
191,Denise Levertov,10,8,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
192,Dorion Sagan,10,4,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
193,Ellen Kushner,10,8,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
194,Greg Rucka,10,6,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
195,Henry Kissinger,10,9,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
196,James Madison (writer),10,7,3,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
197,Joseph Goldstein (writer),10,6,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
198,Joyce Maynard,10,7,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
199,Lee Goldberg,10,8,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
200,Rebecca Goldstein,10,6,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
201,René Goscinny,10,0,10,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
202,Rich Cohen,10,7,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
203,Ron Miller (songwriter),10,1,9,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
204,Susan Gubar,10,5,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
205,Alan Sepinwall,9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
206,Alfred Bester,9,7,2,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
207,Alvin Toffler,9,1,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
208,Amber Benson,9,8,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
209,Andrew Weil,9,4,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
210,Ben Marcus,9,7,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
211,Bob Dylan,9,5,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
212,David Berlinski,9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
213,David Remnick,9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
214,Edward Dolnick,9,5,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
215,Gabrielle Bernstein,9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
216,George Soros,9,5,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
217,Glenn Greenwald,9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
218,Hal Draper,9,0,9,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
219,Harry Kemelman,9,9,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
220,Herman Wouk,9,5,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
221,Jake Bernstein (journalist),9,3,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
222,Jamaica Kincaid,9,7,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
223,Jeffrey Kluger,9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
224,Joanna Russ,9,8,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
225,Jonathan Kozol,9,7,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
226,Joshua Cohen (writer),9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
227,Kaja Silverman,9,3,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
228,Lawrence Weschler,9,5,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
229,Lev Grossman,9,7,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
230,Mary Doria Russell,9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
231,Meg Wolitzer,9,8,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
232,Nora Ephron,9,7,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
233,Richard A. Falk,9,0,9,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
234,Richard D. Wolff,9,3,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
235,Robert Greene (American author),9,6,3,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
236,Sanford Levinson,9,4,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
237,Sidney Blumenthal,9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
238,Stanley Aronowitz,9,3,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
239,Steve Sheinkin,9,6,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
240,Susan Orlean,9,4,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
241,Thomas L. Friedman,9,4,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
242,Tony Horwitz,9,5,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
243,Tony Kushner,9,8,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
244,William Goldman,9,9,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
245,Albert O. Hirschman,8,1,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
246,Allegra Goodman,8,7,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
247,Allen Ginsberg,8,7,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
248,Andrea Dworkin,8,1,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
249,Bruce Feiler,8,4,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
250,Budd Schulberg,8,8,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
251,Damon Galgut,8,7,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
252,Daniel H. Pink,8,5,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
253,David Gilbert (activist),8,4,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
254,David Matthews (author),8,1,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
255,David Novak,8,1,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
256,Deborah Blum,8,6,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
257,Dennis Prager,8,2,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
258,Erich Segal,8,6,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
259,Fran Manushkin,8,1,7,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
260,Gabriel Marcel,8,0,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
261,Gail Carson Levine,8,7,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
262,Gary Shteyngart,8,5,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
263,George Friedman,8,5,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
264,George Packer,8,5,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
265,Howard Marks (investor),8,6,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
266,Isaac Bashevis Singer,8,6,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
267,J. D. Salinger,8,6,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
268,Janet Malcolm,8,6,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
269,Jessica Seinfeld,8,5,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
270,Jonah Goldberg,8,4,4,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
271,Kinky Friedman,8,5,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
272,Lauren Berlant,8,0,8,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
273,Michael Kimmel,8,2,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
274,Michael Savage,8,6,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
275,Philip Levine (poet),8,8,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
276,Rachel Pollack,8,2,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
277,Shelby Foote,8,5,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
278,Siegfried Kracauer,8,2,6,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
279,Simon Rich,8,8,0,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
280,Susan Griffin,8,5,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
281,Suzy McKee Charnas,8,7,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
282,Vasily Grossman,8,7,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
283,Vivian Gornick,8,3,5,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
284,Wallace Shawn,8,6,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
285,Walter Kaufmann (philosopher),8,1,7,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
286,Alfred Kazin,7,4,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
287,Amelia Atwater-Rhodes,7,6,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
288,Amy Goodman,7,5,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
289,Anthony Hecht,7,5,2,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
290,Arthur Schnitzler,7,7,0,yes,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
291,Aryeh Kaplan,7,4,3,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
292,Ben Shapiro,7,5,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
293,Chloe Coscarelli,7,5,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
294,Daniel Gordis,7,5,2,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
295,Daniel Handler,7,6,1,,Meta (Llama),Books3/LibGen; copyright + DMCA 1202
