rank,channel,total_clips,affected_by,sued_over
90,FTD Facts,329,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
91,The Try Guys,329,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
92,iJustine,328,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
93,DW Deutsch,327,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
94,Patrick Wieland,325,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
95,List 25,324,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
96,Sanjeev Kapoor Khazana,321,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
97,Valuetainment,319,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
98,TheRichest,316,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
99,Tonka the Malamute AKA WaterWolf,316,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
100,Chrome for Developers,313,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
101,The Finest,312,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
102,Android Authority,312,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
103,Evan Shanks,311,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
104,moviemaniacsDE,306,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
105,TIM and FIN,304,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
106,Dr.E (BigMac MacDonald Lee),303,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
107,It's AumSum Time,302,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
108,Dish Nation,302,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
109,Democracy Now!,301,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
110,MMA Junkie,301,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
111,Noticias Telemundo,301,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
112,Brasil notícias,301,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
113,SuperFunReviews,300,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
114,Audacy,300,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
115,Supercar Blondie,300,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
116,Stretford Paddock,299,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
117,WildFilmsIndia,299,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
118,CineD,297,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
119,AntsCanada,296,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
120,Strictly Dumpling,296,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
121,СТС,296,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
122,Now You Know,293,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
123,Number Six With Cheese,293,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
124,Lucky Penny Shop,293,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
125,Voice of America,293,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
126,Karl Rock,292,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
127,Kelley Blue Book,290,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
128,April and Davey,290,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
129,PokerNews,290,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
130,Android Developers,289,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
131,Zig & Sharko,286,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
132,American Eye,286,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
133,Man City,285,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
134,ScreenCrush,284,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
135,Matthew Moniz,283,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
136,Outliers Overland,283,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
137,Natural Cures,282,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
138,EverythingApplePro E A P,282,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
139,Shawn Woods (Mousetrap Monday),280,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
140,Living Survival,280,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
141,iamjake,279,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
142,DisneyToysReview,279,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
143,はいじぃ迷作劇場,278,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
144,Anton Petrov,277,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
145,Dj's Aviation,277,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
146,Gone to the Snow Dogs,276,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
147,Flicks And The City,275,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
148,Hacksmith Industries,274,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
149,The Art of Photography,274,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
150,truly,269,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
151,Daym Drops,266,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
152,The Great War,265,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
153,Mercedes-Benz,265,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
154,MIT OpenCourseWare,265,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
155,InformOverload,265,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
156,Topes de Gama,264,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
157,Bestie Health,263,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
158,Justin Odisho,261,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
159,The Quint,261,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
160,CheapRVliving,260,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
161,Miraculous Ladybug,259,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
162,Seth James DeMoor,256,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
163,Tifo Football,256,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
164,SACCONEJOLYs,256,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
165,MindSmash,256,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
166,TopTenz,256,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
167,NTV Kenya,254,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
168,Chris Pirillo,253,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
169,Moto Madness,253,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
170,TLC,253,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
171,NASA Johnson,252,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
172,Tom Scott,251,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
173,Midway Mayhem,250,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
174,FEI,250,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
175,Matt Maran Motoring,250,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
176,Ph.D.,250,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
177,Ellie and Jared,249,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
178,Value Investing with Sven Carlin,249,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
179,maidigitv,249,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
180,Kris Krohn,247,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
181,Cody'sLab,247,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
182,Nokia,246,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
183,Paolo fromTOKYO,246,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
184,Nick Jr.,246,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
185,The United Stand,245,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
186,B is for Build,243,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
187,We Are The Davises,243,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
188,Jabzy,243,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
189,Evan Carmichael,240,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
190,Shaun,240,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
191,PsychoTraveller,239,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
192,European Space Agency,239,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
193,ESA,239,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
194,Omroep Brabant,239,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
195,Rappler,238,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
196,MoreWolfie,236,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
197,New Rockstars,236,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
198,AiirSource Military,235,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
199,Blessed Jess,234,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
200,SuperCarlinBrothers,233,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
201,Awesomeness,233,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
202,Hagerty,233,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
203,Fanpage.it,233,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
204,The Football Terrace,232,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
205,Beardbrand,232,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
206,emmymade,232,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
207,China Uncensored,230,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
208,AutoMotoTV,228,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
209,Discovery,227,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
210,MSA previously My Story Animated,227,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
211,TheTravelingClatt,227,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
212,Carbuyer,225,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
213,The Dodo,225,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
214,The Sun,224,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
215,The Take,223,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
216,TabiEats,223,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
217,Paul's Hardware,223,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
218,StudyIQ IAS,223,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
219,The Fumble,223,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
220,Dr Sam Robbins,222,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
221,TBTV Toy Adventures,222,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
222,Good Mythical Morning,222,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
223,The Camper Pros,221,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
224,Bundesliga,221,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
225,OWN,221,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
226,mahalodotcom,221,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
227,Leopard Gecko,220,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
228,Garmin,220,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
229,The Dark Den,220,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
230,YouTube Creators,219,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
231,Sarah -n- Tuned,219,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
232,How It Should Have Ended,216,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
233,Paul Cuffaro,216,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
234,Dropout,215,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
235,National Geographic,215,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
236,The Run Experience,214,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
237,MarineMax,213,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
238,Europe 1,212,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
239,Ready Set Drone,211,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
240,Peter Caine Dog Training,211,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
241,Exi,211,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
242,Todo Noticias,210,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
243,Andy Guitar,209,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
244,Formula E,208,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
245,SnowboardProCamp,208,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
246,Robert Cabral,207,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
247,The Futur,207,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
248,Geekanoids,206,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
249,moviecollectionjp,203,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
250,BUILD Series,202,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
251,#Mind Warehouse,202,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
252,Shot of The Yeagers,202,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
253,GizmoSlip,202,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
254,Survival Lilly,201,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
255,Daneger and Stacey,201,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
256,cookingguide,200,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
257,Stadium,198,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
258,Esri Events,197,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
259,Manchester United,197,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
260,WatchZozo,197,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
261,Sailing Doodles,196,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
262,ChrisFix,196,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
263,WhatCulture Wrestling,196,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
264,MBClife,196,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
265,Wylsacom,196,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
266,Citytv,196,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
267,The Noite com Danilo Gentili,195,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
268,France 3 Nouvelle-Aquitaine,195,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
269,WatchJRGo,194,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
270,BMW Fanatic,193,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
271,Leah Ashe,190,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
272,Sadhguru,189,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
273,Lucky Ferals,188,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
274,Cracked,188,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
275,The Telegraph,187,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
276,Top 5 Best,186,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
277,WeWatchedAMovie,186,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
278,JoergSprave,185,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
279,The Fixies,185,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
280,minutephysics,185,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
281,MSG Networks,185,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
282,Variety,184,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
283,Matt Slays,184,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
284,Shane Miller - GPLama,182,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
285,TGS Anime,182,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
286,The Fast Lane Car,182,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
287,What's Inside?,180,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
288,JalanTikus,179,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
289,iCrackUriDevice,178,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
290,Wisconsin Badgers,178,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
291,Reverb,176,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
292,Participant,176,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
293,Edmonton Journal,176,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
294,Yuka Kinoshita木下ゆうか,175,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
295,PiXimperfect,175,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
296,The Zunigas,174,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
297,Enaldinho,174,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
